Wall time,Step,Value
1778517492.2203543,4096,-2.8385791778564453
1778517495.2473142,6144,-2.8480780124664307
1778517498.3732777,8192,-2.848454713821411
1778517501.5784972,10240,-2.8446619510650635
1778517505.4731624,12288,-2.850698709487915
1778517510.2630403,14336,-2.846766948699951
1778517513.5090733,16384,-2.8359415531158447
1778517516.7033863,18432,-2.8260600566864014
1778517519.957244,20480,-2.823306083679199
1778517524.7180023,22528,-2.8172593116760254
1778517530.312797,24576,-2.8104138374328613
1778517533.904941,26624,-2.8091678619384766
1778517539.422942,28672,-2.8026013374328613
1778517542.7329867,30720,-2.7883448600769043
1778517546.1326861,32768,-2.7520105838775635
1778517549.292866,34816,-2.742509126663208
1778517552.5326943,36864,-2.744476079940796
1778517555.9528983,38912,-2.742657423019409
1778517559.5335083,40960,-2.7432119846343994
1778517562.786549,43008,-2.7399849891662598
1778517565.9983013,45056,-2.7339718341827393
1778517569.2384279,47104,-2.703984498977661
1778517573.6324644,49152,-2.675074577331543
1778517576.902325,51200,-2.676013946533203
1778517580.1852322,53248,-2.682461738586426
1778517583.44433,55296,-2.6777403354644775
1778517587.730387,57344,-2.6655361652374268
1778517592.9382885,59392,-2.668186664581299
1778517596.0975707,61440,-2.6509757041931152
1778517599.7752373,63488,-2.6258552074432373
1778517605.0340233,65536,-2.6096608638763428
1778517610.5512092,67584,-2.6064281463623047
1778517617.9633272,69632,-2.601536989212036
1778517622.2075346,71680,-2.593810796737671
1778517626.2075958,73728,-2.5853915214538574
1778517632.551829,75776,-2.5717122554779053
1778517636.7141557,77824,-2.5599215030670166
1778517640.80873,79872,-2.5430819988250732
1778517646.4253516,81920,-2.519259452819824
1778517650.7886753,83968,-2.4976346492767334
1778517655.1011302,86016,-2.4564013481140137
1778517663.5067923,88064,-2.444523334503174
1778517667.951975,90112,-2.444688081741333
1778517672.6965709,92160,-2.4446725845336914
1778517678.0532303,94208,-2.44875168800354
1778517682.1085014,96256,-2.4428627490997314
1778517686.334933,98304,-2.434342861175537
1778517690.888278,100352,-2.434380292892456
1778517696.3488731,102400,-2.4242119789123535
1778517701.1285672,104448,-2.4147837162017822
1778517705.4022868,106496,-2.388101100921631
1778517709.6945586,108544,-2.370232582092285
1778517716.187122,110592,-2.3702874183654785
1778517720.627028,112640,-2.368340015411377
1778517724.9268959,114688,-2.366269588470459
1778517730.759904,116736,-2.368325710296631
1778517735.0263484,118784,-2.369398355484009
1778517739.5364377,120832,-2.3655998706817627
1778517745.464046,122880,-2.3575687408447266
1778517749.6668172,124928,-2.3521947860717773
1778517753.9301624,126976,-2.3443586826324463
1778517759.87893,129024,-2.336207151412964
1778517765.7897303,131072,-2.3260319232940674
1778517770.4122746,133120,-2.32275390625
1778517776.6574786,135168,-2.3226046562194824
1778517781.1182687,137216,-2.3204760551452637
1778517786.350058,139264,-2.311614513397217
1778517791.5296326,141312,-2.3045260906219482
1778517796.7659037,143360,-2.2995638847351074
1778517801.819306,145408,-2.2867910861968994
1778517806.501212,147456,-2.2839648723602295
1778517810.0891156,149504,-2.283280611038208
1778517813.6018999,151552,-2.277738094329834
1778517816.850548,153600,-2.279630184173584
1778517821.7009664,155648,-2.282341241836548
1778517826.8485456,157696,-2.2710163593292236
1778517832.4548306,159744,-2.253896474838257
1778517839.125973,161792,-2.243187665939331
1778517843.6056757,163840,-2.217683792114258
1778517848.0259197,165888,-2.1934473514556885
1778517853.9181643,167936,-2.1362240314483643
1778517858.6727571,169984,-2.094724655151367
1778517863.1519341,172032,-2.0863196849823
1778517868.9651217,174080,-2.084423542022705
1778517873.3917522,176128,-2.0860469341278076
1778517877.833472,178176,-2.0880274772644043
1778517883.9136717,180224,-2.082024335861206
1778517888.3015988,182272,-2.0695900917053223
1778517892.7325423,184320,-2.0505809783935547
1778517899.4741287,186368,-2.043597936630249
1778517903.8860316,188416,-2.0463321208953857
1778517908.3755276,190464,-2.049957036972046
1778517916.5381515,192512,-2.0482890605926514
1778517921.7200873,194560,-2.043916940689087
1778517928.304754,196608,-2.0357065200805664
1778517933.5103276,198656,-2.02683424949646
1778517937.7551107,200704,-2.0068812370300293
1778517944.4859543,202752,-1.982898473739624
1778517951.043594,204800,-1.975656270980835
1778517958.6685927,206848,-1.9787966012954712
1778517963.3286412,208896,-1.9784042835235596
1778517967.9897926,210944,-1.9697246551513672
1778517974.570694,212992,-1.9622857570648193
1778517979.217746,215040,-1.95772123336792
1778517984.991581,217088,-1.9494143724441528
1778517990.252678,219136,-1.9389593601226807
1778517994.1077027,221184,-1.9396183490753174
1778518000.9721518,223232,-1.934173345565796
1778518006.0028875,225280,-1.913567066192627
1778518010.6534753,227328,-1.9071182012557983
1778518016.9691772,229376,-1.9172947406768799
1778518022.034688,231424,-1.9151633977890015
1778518026.561288,233472,-1.9223657846450806
1778518035.1734586,235520,-1.9191793203353882
1778518040.3035407,237568,-1.9086778163909912
1778518046.8770568,239616,-1.8958896398544312
1778518051.116949,241664,-1.8796699047088623
1778518054.799988,243712,-1.8706687688827515
1778518065.728967,245760,-1.866594910621643
1778518072.4297528,247808,-1.861258625984192
1778518080.0666823,249856,-1.850987195968628
1778518085.73681,251904,-1.8373554944992065
1778518091.7371385,253952,-1.8226209878921509
1778518098.579004,256000,-1.8124992847442627
1778518110.0402098,258048,-1.7934247255325317
1778518115.9721746,260096,-1.778855562210083
1778518124.0065536,262144,-1.7775849103927612
1778518130.6918774,264192,-1.7882565259933472
1778518137.7748535,266240,-1.789568543434143
1778518144.7137718,268288,-1.7809092998504639
1778518151.4936123,270336,-1.7826544046401978
1778518156.298335,272384,-1.7888872623443604
1778518164.344144,274432,-1.7852855920791626
1778518171.5580788,276480,-1.7815009355545044
1778518175.684214,278528,-1.783211350440979
1778518180.7748525,280576,-1.777140736579895
1778518184.1840649,282624,-1.7639116048812866
1778518187.6198425,284672,-1.7643975019454956
1778518191.0637524,286720,-1.7597447633743286
1778518195.578913,288768,-1.7616591453552246
1778518199.0438738,290816,-1.7613873481750488
1778518202.6389203,292864,-1.747219204902649
1778518206.5175824,294912,-1.7415683269500732
1778518210.9537823,296960,-1.7434959411621094
1778518214.3713746,299008,-1.7511175870895386
1778518217.907915,301056,-1.7445100545883179
1778518222.9637108,303104,-1.7276002168655396
