Wall time,Step,Value
1778590831.5439084,4096,30.710872650146484
1778590837.133563,8192,22.590560913085938
1778590843.8535457,12288,22.28956413269043
1778590849.7445805,16384,25.338422775268555
1778590859.3195407,20480,24.275257110595703
1778590882.0735285,24576,22.288150787353516
1778590892.001728,28672,21.478309631347656
1778590901.0744987,32768,23.204212188720703
1778590908.1735888,36864,23.204212188720703
1778590916.4854417,40960,26.099491119384766
1778590924.7936032,45056,27.008426666259766
1778590931.1838315,49152,28.38287353515625
1778590937.303452,53248,28.38287353515625
1778590943.2389796,57344,29.662649154663086
1778590949.60645,61440,29.662649154663086
1778590955.7336452,65536,36.788753509521484
1778590961.948878,69632,36.788753509521484
1778590967.9037528,73728,39.87498474121094
1778590973.923845,77824,39.87498474121094
1778590980.1990566,81920,45.96377182006836
1778590986.2535605,86016,47.791141510009766
1778590992.3838646,90112,52.88360595703125
1778590998.3434765,94208,57.47693634033203
1778591005.523792,98304,60.912940979003906
1778591014.560426,102400,64.33941650390625
1778591026.8838544,106496,69.31436920166016
1778591036.648758,110592,71.77206420898438
1778591043.3536286,114688,77.1878890991211
1778591050.808473,118784,81.40702056884766
1778591059.0760686,122880,85.35597229003906
1778591067.7018695,126976,85.5282974243164
1778591077.391046,131072,88.00743865966797
1778591085.6086528,135168,90.20816040039062
1778591093.860415,139264,92.49037170410156
1778591101.9855442,143360,95.61886596679688
1778591113.1638033,147456,98.29168701171875
1778591119.4535155,151552,100.63462829589844
1778591129.1557863,155648,102.54852294921875
1778591135.8736873,159744,104.11154174804688
1778591142.136557,163840,105.84999084472656
1778591148.3636916,167936,106.86630249023438
1778591154.7137372,172032,108.29463195800781
1778591168.8176386,176128,109.44865417480469
1778591177.2179277,180224,110.97721099853516
1778591183.6024668,184320,111.58099365234375
1778591192.0010264,188416,112.93548583984375
1778591199.3318,192512,114.01017761230469
1778591207.8977695,196608,115.14281463623047
1778591216.334461,200704,115.95087432861328
1778591226.080059,204800,120.62963104248047
1778591233.0755007,208896,126.39807891845703
1778591239.6959279,212992,131.1090087890625
1778591249.0265148,217088,135.69332885742188
1778591261.858235,221184,136.83871459960938
1778591270.5935736,225280,137.429443359375
1778591282.5497468,229376,136.4853973388672
1778591292.956074,233472,135.38876342773438
1778591302.3256426,237568,135.83316040039062
1778591313.8234866,241664,136.32774353027344
1778591326.2978163,245760,135.8472137451172
1778591336.6135685,249856,136.06886291503906
1778591349.1935227,253952,135.76991271972656
