Wall time,Step,Value
1778590831.5439084,4096,0.0
1778590837.1370125,8192,0.0
1778590843.8535457,12288,0.0
1778590849.7445805,16384,0.0
1778590859.3195407,20480,0.0
1778590882.0735285,24576,0.0
1778590892.001728,28672,0.0
1778590901.0744987,32768,0.0
1778590908.1735888,36864,0.0
1778590916.4854417,40960,0.0
1778590924.7936032,45056,0.0
1778590931.1838315,49152,0.0
1778590937.303452,53248,0.0
1778590943.2389796,57344,0.0
1778590949.60645,61440,0.0
1778590955.7336452,65536,0.0
1778590961.948878,69632,0.0
1778590967.9037528,73728,0.0
1778590973.923845,77824,0.0
1778590980.1990566,81920,0.043478261679410934
1778590986.2535605,86016,0.0416666679084301
1778590992.3838646,90112,0.07999999821186066
1778590998.3434765,94208,0.11538461595773697
1778591005.523792,98304,0.14814814925193787
1778591014.560426,102400,0.1785714328289032
1778591026.8838544,106496,0.20000000298023224
1778591036.648758,110592,0.22580644488334656
1778591043.3536286,114688,0.27272728085517883
1778591050.808473,118784,0.3142857253551483
1778591059.0760686,122880,0.3513513505458832
1778591067.7018695,126976,0.3333333432674408
1778591077.391046,131072,0.3414634168148041
1778591085.6086528,135168,0.3636363744735718
1778591093.860415,139264,0.3913043439388275
1778591101.9855442,143360,0.4285714328289032
1778591113.1638033,147456,0.4615384638309479
1778591119.4535155,151552,0.4909090995788574
1778591129.1557863,155648,0.517241358757019
1778591135.8736873,159744,0.5245901346206665
1778591142.136557,163840,0.5384615659713745
1778591148.3636916,167936,0.5362318754196167
1778591154.7137372,172032,0.5479452013969421
1778591168.8176386,176128,0.5657894611358643
1778591177.2179277,180224,0.5874999761581421
1778591183.6024668,184320,0.5975610017776489
1778591192.0010264,188416,0.6162790656089783
1778591199.3318,192512,0.6333333253860474
1778591207.8977695,196608,0.6526315808296204
1778591216.334461,200704,0.6666666865348816
1778591226.080059,204800,0.699999988079071
1778591233.0755007,208896,0.75
1778591239.6959279,212992,0.7900000214576721
1778591249.0265148,217088,0.8399999737739563
1778591261.858235,221184,0.8799999952316284
1778591270.5935736,225280,0.8999999761581421
1778591282.5497468,229376,0.9100000262260437
1778591292.956074,233472,0.9100000262260437
1778591302.3256426,237568,0.9399999976158142
1778591313.8234866,241664,0.949999988079071
1778591326.2978163,245760,0.949999988079071
1778591336.6135685,249856,0.9599999785423279
1778591349.1935227,253952,0.9700000286102295
