Wall time,Step,Value
1778591852.5478916,512000,555.4500122070312
1778591861.0885925,516096,559.6300048828125
1778591870.7654114,520192,544.469970703125
1778591877.1973252,524288,546.719970703125
1778591883.635537,528384,536.1699829101562
1778591893.4605975,532480,513.5
1778591900.645678,536576,513.7999877929688
1778591908.5494459,540672,508.32000732421875
1778591919.920619,544768,500.7799987792969
1778591927.180678,548864,501.1400146484375
1778591934.3997784,552960,487.1400146484375
1778591943.1473389,557056,480.510009765625
1778591949.9906921,561152,481.7300109863281
1778591956.665713,565248,468.3800048828125
1778591964.2294178,569344,474.3800048828125
1778591972.0077767,573440,475.4700012207031
1778591981.155487,577536,486.1400146484375
1778591990.6291807,581632,490.3699951171875
1778591997.1094887,585728,498.55999755859375
1778592007.1800761,589824,496.5299987792969
1778592013.53951,593920,494.8500061035156
1778592021.1406002,598016,490.5400085449219
1778592035.247008,602112,492.6099853515625
1778592044.1023235,606208,498.55999755859375
1778592051.430721,610304,494.7200012207031
1778592058.6429343,614400,501.9100036621094
1778592070.1056657,618496,499.7099914550781
1778592080.4574907,622592,506.6199951171875
1778592092.0674736,626688,503.19000244140625
1778592100.3304558,630784,502.79998779296875
1778592116.6656833,634880,504.7300109863281
1778592123.659462,638976,500.260009765625
1778592131.6031797,643072,506.1499938964844
1778592140.2195253,647168,502.7099914550781
1778592149.052438,651264,502.3599853515625
1778592157.9753194,655360,497.8599853515625
1778592165.8186097,659456,497.0400085449219
1778592172.7755783,663552,493.4800109863281
1778592182.5538194,667648,494.8299865722656
1778592205.7591975,671744,493.3800048828125
1778592221.4911144,675840,485.6300048828125
1778592230.5286539,679936,488.8500061035156
1778592237.7104127,684032,487.4100036621094
1778592244.3557107,688128,490.1099853515625
1778592250.780783,692224,491.739990234375
1778592261.399717,696320,491.7200012207031
1778592269.3103204,700416,492.67999267578125
1778592276.1831574,704512,501.510009765625
1778592284.3894022,708608,505.8399963378906
1778592294.4409788,712704,510.1700134277344
1778592307.191684,716800,521.0700073242188
1778592317.3549929,720896,503.94000244140625
1778592329.8980505,724992,498.19000244140625
1778592338.7873175,729088,497.30999755859375
1778592348.8048437,733184,492.7300109863281
1778592356.264978,737280,493.80999755859375
1778592367.2478828,741376,489.19000244140625
1778592376.7038865,745472,486.6199951171875
1778592386.251322,749568,487.260009765625
1778592394.5216541,753664,483.82000732421875
1778592403.7828107,757760,480.7699890136719
1778592412.418923,761856,490.1000061035156
1778592420.8260713,765952,491.0299987792969
1778592429.936573,770048,501.1600036621094
1778592439.7498367,774144,503.510009765625
1778592448.6398807,778240,510.2300109863281
1778592456.6885421,782336,511.45001220703125
1778592467.9838088,786432,515.4099731445312
1778592479.1284766,790528,508.760009765625
1778592486.7649784,794624,508.1199951171875
1778592493.5925727,798720,507.1300048828125
1778592501.1298542,802816,512.5399780273438
1778592511.8306894,806912,517.25
1778592520.9451237,811008,500.1700134277344
1778592530.5540807,815104,498.9100036621094
1778592541.824083,819200,499.760009765625
1778592551.920123,823296,501.6199951171875
1778592561.030152,827392,508.6600036621094
1778592570.0099018,831488,509.9200134277344
1778592576.540197,835584,515.4400024414062
1778592586.630096,839680,521.1799926757812
1778592597.8450148,843776,524.9299926757812
1778592606.9848077,847872,535.1099853515625
1778592617.016754,851968,538.6599731445312
1778592625.2539246,856064,538.9199829101562
1778592633.8092914,860160,537.22998046875
