Wall time,Step,Value
1778517489.385463,2048,-193.12423706054688
1778517492.2203543,4096,-177.1258087158203
1778517495.2473142,6144,-172.233642578125
1778517498.3732777,8192,-169.07786560058594
1778517501.5784972,10240,-162.22232055664062
1778517505.4731624,12288,-163.55548095703125
1778517510.2630403,14336,-157.27772521972656
1778517513.5090733,16384,-154.1819305419922
1778517516.7033863,18432,-152.30572509765625
1778517519.957244,20480,-141.36395263671875
1778517524.7180023,22528,-135.57955932617188
1778517530.312797,24576,-137.8487548828125
1778517533.904941,26624,-135.32383728027344
1778517539.422942,28672,-135.32383728027344
1778517542.7329867,30720,-135.63510131835938
1778517546.1326861,32768,-136.28195190429688
1778517549.292866,34816,-132.97357177734375
1778517552.5326943,36864,-134.20692443847656
1778517555.9528983,38912,-130.47119140625
1778517559.5335083,40960,-131.69711303710938
1778517562.786549,43008,-128.35324096679688
1778517565.9983013,45056,-128.35324096679688
1778517569.2384279,47104,-121.22758483886719
1778517573.6324644,49152,-116.05756378173828
1778517576.902325,51200,-115.44721221923828
1778517580.1852322,53248,-115.06534576416016
1778517583.44433,55296,-115.06534576416016
1778517587.730387,57344,-115.06917572021484
1778517592.9382885,59392,-112.65455627441406
1778517596.0975707,61440,-112.65455627441406
1778517599.7752373,63488,-105.92688751220703
1778517605.0340233,65536,-106.19375610351562
1778517610.5512092,67584,-103.6836166381836
1778517617.9633272,69632,-103.6836166381836
1778517622.2075346,71680,-102.84304809570312
1778517626.2075958,73728,-97.62855529785156
1778517632.551829,75776,-89.27641296386719
1778517636.7141557,77824,-88.24642944335938
1778517640.80873,79872,-87.44392395019531
1778517646.4243524,81920,-81.80559539794922
1778517650.7876737,83968,-81.80559539794922
1778517655.1000326,86016,-79.47821807861328
1778517663.5067923,88064,-79.52722930908203
1778517667.951975,90112,-78.6571273803711
1778517672.6965709,92160,-74.30624389648438
1778517678.0532303,94208,-74.30624389648438
1778517682.1085014,96256,-74.11304473876953
1778517686.334933,98304,-74.11304473876953
1778517690.888278,100352,-74.11304473876953
1778517696.3478577,102400,-74.11304473876953
1778517701.1285672,104448,-74.11304473876953
1778517705.4022868,106496,-64.56712341308594
1778517709.6935515,108544,-61.62250900268555
1778517716.18507,110592,-61.62250900268555
1778517720.627028,112640,-57.78181457519531
1778517724.9268959,114688,-56.771671295166016
1778517730.759904,116736,-56.96489715576172
1778517735.0263484,118784,-56.96489715576172
1778517739.5364377,120832,-52.07777786254883
1778517745.464046,122880,-52.07777786254883
