Wall time,Step,Value
1778591377.2373815,262144,-0.3728145360946655
1778591384.9450386,266240,-0.38558316230773926
1778591393.0467467,270336,-0.3679250478744507
1778591402.7653103,274432,-0.367454469203949
1778591410.8117445,278528,-0.39292824268341064
1778591418.2911005,282624,-0.3853510022163391
1778591428.7776108,286720,-0.39349937438964844
1778591436.4456475,290816,-0.406654953956604
1778591444.0917237,294912,-0.38472801446914673
1778591450.603882,299008,-0.4045477509498596
1778591456.9522,303104,-0.4233522117137909
1778591464.1965249,307200,-0.4092108905315399
1778591470.794533,311296,-0.4096844494342804
1778591477.7261293,315392,-0.4156862795352936
1778591484.6419713,319488,-0.43093109130859375
1778591492.2356129,323584,-0.4257638156414032
1778591499.9057004,327680,-0.42061489820480347
1778591506.575418,331776,-0.4147847890853882
1778591514.6323671,335872,-0.4182167947292328
1778591522.602569,339968,-0.4328100085258484
1778591533.9687638,344064,-0.4458645284175873
1778591541.7661703,348160,-0.442179799079895
1778591549.521667,352256,-0.41705983877182007
1778591556.3313491,356352,-0.43746596574783325
1778591562.6257782,360448,-0.4412532448768616
1778591569.0605848,364544,-0.41927552223205566
1778591575.925419,368640,-0.4464716613292694
1778591583.5470061,372736,-0.44524049758911133
1778591592.6335554,376832,-0.4672756791114807
1778591600.044452,380928,-0.45527786016464233
1778591606.6579173,385024,-0.44436874985694885
1778591613.305708,389120,-0.44654381275177
1778591620.6396027,393216,-0.4585728943347931
1778591627.6418228,397312,-0.4610724449157715
1778591634.0454075,401408,-0.46124011278152466
1778591644.4017334,405504,-0.4627572000026703
1778591653.789631,409600,-0.4704577922821045
1778591663.3256695,413696,-0.47812747955322266
1778591674.0416908,417792,-0.46758970618247986
1778591682.4053764,421888,-0.4639950394630432
1778591694.0754647,425984,-0.4744836390018463
1778591700.6456683,430080,-0.47977161407470703
1778591707.0100193,434176,-0.4682115614414215
1778591713.3095362,438272,-0.4823237657546997
1778591719.4855266,442368,-0.4783574044704437
1778591725.7255664,446464,-0.47741714119911194
1778591731.9456294,450560,-0.46496379375457764
1778591738.1804636,454656,-0.49576103687286377
1778591744.525744,458752,-0.4788331091403961
1778591750.6774862,462848,-0.4954816699028015
1778591757.6931577,466944,-0.47671425342559814
1778591765.779384,471040,-0.4990732669830322
1778591774.3216476,475136,-0.5024266242980957
1778591783.480523,479232,-0.5067048668861389
1778591792.0494545,483328,-0.5067774057388306
1778591800.3955615,487424,-0.5126716494560242
1778591808.0820577,491520,-0.5155296921730042
1778591816.397579,495616,-0.5058723092079163
1778591824.0076416,499712,-0.5154097676277161
1778591833.7255316,503808,-0.5087553262710571
1778591843.2255483,507904,-0.5071384310722351
